127.0.0.1, 2018-05-24 15:53:20, GET, /helloWorldism/static/images/facebook.png, HTTP/1.1, 200, 0.002000
127.0.0.1, 2018-05-24 15:53:20, GET, /helloWorldism/static/images/gplus-32.png, HTTP/1.1, 200, 0.003000
127.0.0.1, 2018-05-24 15:53:20, GET, /helloWorldism/static/images/favicon.ico, HTTP/1.1, 200, 0.001000
127.0.0.1, 2018-05-24 15:53:27, GET, /helloWorldism, HTTP/1.1, 200, 0.025000
127.0.0.1, 2018-05-24 15:53:37, GET, /admin/default/index, HTTP/1.1, 303, 0.008000
127.0.0.1, 2018-05-24 15:53:37, GET, /admin/default/site, HTTP/1.1, 200, 0.038000
127.0.0.1, 2018-05-24 15:53:38, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2018-05-24 15:53:44, GET, /admin/default/uninstall/helloWorldism, HTTP/1.1, 200, 0.038000
127.0.0.1, 2018-05-24 15:53:44, GET, /favicon.ico, HTTP/1.1, 400, 0.001000
127.0.0.1, 2018-05-24 15:53:46, POST, /admin/default/uninstall/helloWorldism, HTTP/1.1, 303, 0.252000
127.0.0.1, 2018-05-24 15:53:46, GET, /admin/default/site, HTTP/1.1, 200, 0.024000
127.0.0.1, 2018-05-24 15:53:47, GET, /favicon.ico, HTTP/1.1, 400, 0.001000
127.0.0.1, 2018-05-24 15:54:07, POST, /admin/default/site, HTTP/1.1, 303, 0.328000
127.0.0.1, 2018-05-24 15:54:07, GET, /admin/default/design/app1, HTTP/1.1, 200, 0.150000
127.0.0.1, 2018-05-24 15:54:08, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2018-05-24 15:54:50, GET, /app1, HTTP/1.1, 200, 0.313000
127.0.0.1, 2018-05-24 15:54:50, GET, /app1/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.001000
127.0.0.1, 2018-05-24 15:54:50, GET, /app1/static/css/web2py-bootstrap4.css, HTTP/1.1, 200, 0.009000
127.0.0.1, 2018-05-24 15:54:50, GET, /app1/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 200, 0.009000
127.0.0.1, 2018-05-24 15:54:50, GET, /app1/static/js/jquery.js, HTTP/1.1, 200, 0.005000
127.0.0.1, 2018-05-24 15:54:50, GET, /app1/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.004000
